isotype	sweep	ALT	Hets	REF	n_str	alt_frac	hets_frac
AB1	Swept	645	0	8868	9513	6.78019552191738	0
BRC20067	Swept	925	18	8440	9383	9.85825428967281	0.19183629969093
BRC20263	Swept	1137	1	8495	9633	11.8031765805045	0.0103809820409011
CB4852	Swept	560	1	8846	9407	5.9530137131923	0.0106303816307005
CB4854	Swept	1035	10	8248	9293	11.1374152587969	0.107607876896589
CB4856	Divergent	1765	3	7184	8952	19.7162645218945	0.0335120643431635
CB4932	Swept	790	2	8458	9250	8.54054054054054	0.0216216216216216
CX11254	Swept	1020	2	8105	9127	11.17563273803	0.0219130053686863
CX11262	Swept	1182	7	8267	9456	12.5	0.0740270727580372
CX11264	Swept	1213	6	8008	9227	13.1462013655576	0.0650265525089412
CX11271	Swept	987	3	8504	9494	10.3960396039604	0.0315989045713082
CX11276	Swept	920	4	8512	9436	9.74989402289106	0.0423908435777872
CX11285	Swept	1268	2	8206	9476	13.3811734909244	0.0211059518784297
CX11292	Swept	880	16	8145	9041	9.73343656675147	0.176971573940936
CX11307	Swept	1064	3	8167	9234	11.522633744856	0.032488628979857
CX11314	Swept	1024	2	8160	9186	11.1473982146745	0.0217722621380361
CX11315	Swept	992	4	8563	9559	10.3776545663772	0.0418453813160372
DL200	Swept	1216	7	8230	9453	12.8636411721147	0.074050565957897
DL226	Swept	1009	0	8341	9350	10.7914438502674	0
DL238	Divergent	1724	8	7265	8997	19.1619428698455	0.088918528398355
ECA1069	Swept	1114	3	8254	9371	11.8877387685412	0.0320136591612421
ECA1074	Swept	935	2	8284	9221	10.1398980587789	0.0216896215161045
ECA1185	Divergent	3149	11	5982	9142	34.445416757821	0.120323780354408
ECA1186	Divergent	649	2304	5444	8397	7.72895081576754	27.438370846731
ECA1187	Divergent	3203	6	6093	9302	34.433455170931	0.0645022575790153
ECA1191	Divergent	3113	18	5873	9004	34.5735228787206	0.199911150599733
ECA1192	Divergent	3253	5	6119	9377	34.6912658632825	0.0533219579822971
ECA1193	Divergent	2611	783	5646	9040	28.8827433628319	8.66150442477876
ECA1194	Divergent	3101	26	5916	9043	34.2917173504368	0.287515205131041
