isotype	cluster	PC1	PC2	PC1_var_exp	PC2_var_exp	data
ECA1257	Hawaii	0.205749588294591	-17.5117740187002	NA	NA	pSTRs
ECA1260	Hawaii	13.9926445755347	-24.4580730917033	NA	NA	pSTRs
ECA1261	Hawaii	86.7812982662535	38.7285436831305	NA	NA	pSTRs
ECA1269	Hawaii	12.8480313238427	-25.9347733905258	NA	NA	pSTRs
ECA1271	Hawaii	12.0169559791869	-28.5236401803845	NA	NA	pSTRs
ECA1276	Hawaii	85.6743043680042	40.599062110342	NA	NA	pSTRs
ECA1278	Hawaii	86.291506682336	43.4656111621143	NA	NA	pSTRs
ECA1281	Hawaii	86.3625442607128	45.1553688170032	NA	NA	pSTRs
ECA1283	Hawaii	87.4399460519123	42.0774085741154	NA	NA	pSTRs
ECA1284	Hawaii	87.0409913977567	39.9127399630595	NA	NA	pSTRs
ECA1286	Hawaii	84.5446574156628	39.1717429170125	NA	NA	pSTRs
ECA1287	Hawaii	69.4708983622355	25.8244517926178	NA	NA	pSTRs
ECA1288	Hawaii	10.7449320562295	-28.118422730158	NA	NA	pSTRs
ECA1289	Hawaii	84.2616012982355	38.807124828946	NA	NA	pSTRs
ECA1293	Hawaii	89.7196481476826	44.8844476451364	NA	NA	pSTRs
ECA1298	Hawaii	5.76905216916815	-15.366721411574	NA	NA	pSTRs
ECA1316	N. America	-33.4534293367384	17.0354201516854	NA	NA	pSTRs
ECA1409	Hawaii	71.8460446370922	24.677163891379	NA	NA	pSTRs
ECA1413	Hawaii	1.73923450126116	-4.34972859991347	NA	NA	pSTRs
ECA1493	Hawaii	69.6690663404595	0.39224098841874	NA	NA	pSTRs
ECA1693	Hawaii	40.2447811387101	-23.208237337779	NA	NA	pSTRs
ECA1713	Hawaii	68.3270953470128	-3.26824501939545	NA	NA	pSTRs
ECA1717	Hawaii	91.0479868458795	-27.3778403059704	NA	NA	pSTRs
ECA1725	Hawaii	87.9152186211839	-8.59122941033686	NA	NA	pSTRs
ECA1751	Hawaii	71.9488454558928	30.1028907281998	NA	NA	pSTRs
ECA1757	Hawaii	9.09015889556292	-17.9278612632681	NA	NA	pSTRs
ECA1761	Hawaii	88.6813502768251	-23.8787483353509	NA	NA	pSTRs
ECA1769	Hawaii	83.3398503465616	36.0185235301867	NA	NA	pSTRs
ECA1793	Hawaii	90.6356090795489	-24.8821868315453	NA	NA	pSTRs
ECA1805	Hawaii	2.60075336339505	-18.9512518295532	NA	NA	pSTRs
ECA1807	Hawaii	14.0324924337508	-25.4965016242314	NA	NA	pSTRs
ECA1815	Hawaii	1.15781661826328	-13.1630193987889	NA	NA	pSTRs
ECA1821	Hawaii	88.343415811544	-24.239598923982	NA	NA	pSTRs
ECA1825	Hawaii	76.5746709761454	-19.5858820368601	NA	NA	pSTRs
ECA1843	Hawaii	87.3709894889717	-23.4278393540174	NA	NA	pSTRs
ECA1851	Hawaii	87.6728013287514	-16.54697473457	NA	NA	pSTRs
ECA1853	Hawaii	-3.97011462644049	-12.4054095546577	NA	NA	pSTRs
ECA1875	Hawaii	0.866291392594963	-16.4899934399841	NA	NA	pSTRs
ECA1885	Hawaii	89.8433009728793	-26.0549562312115	NA	NA	pSTRs
ECA1887	Hawaii	2.57562602911137	-19.2484333873532	NA	NA	pSTRs
ECA1889	Hawaii	3.62531210243939	-13.3892047957814	NA	NA	pSTRs
ECA189	Hawaii	2.56827213249635	-13.8846654868814	NA	NA	pSTRs
ECA1891	Hawaii	80.8342331030821	31.1706421209459	NA	NA	pSTRs
ECA1901	Hawaii	0.420916138731457	-16.7980422476984	NA	NA	pSTRs
ECA191	Hawaii	84.2716954418947	42.1659375428001	NA	NA	pSTRs
ECA1919	Hawaii	87.2513013869079	44.4320056259946	NA	NA	pSTRs
ECA1925	Hawaii	86.8137711373602	-10.2999718974197	NA	NA	pSTRs
ECA1937	Hawaii	11.9617025314446	-23.5654192594506	NA	NA	pSTRs
ECA1939	Hawaii	12.1929668460836	-29.6005134481327	NA	NA	pSTRs
ECA1943	Hawaii	11.991297681013	-26.6575061884671	NA	NA	pSTRs
ECA1969	Hawaii	86.9434631529082	41.4170800327237	NA	NA	pSTRs
ECA1977	Hawaii	12.0137886389999	-27.5956962454045	NA	NA	pSTRs
ECA1997	Hawaii	90.7490908872817	39.9009616776686	NA	NA	pSTRs
ECA2041	Hawaii	1.43107096628429	-19.1048474665998	NA	NA	pSTRs
ECA2043	Hawaii	89.6686451352663	-23.5869133008548	NA	NA	pSTRs
ECA2073	Hawaii	86.5115779035836	40.798450423966	NA	NA	pSTRs
ECA2081	Hawaii	86.9319367809442	39.87023922782	NA	NA	pSTRs
ECA2091	Hawaii	68.6408278188906	-9.58759632536164	NA	NA	pSTRs
ECA2109	Hawaii	87.858783759665	-20.0217538922159	NA	NA	pSTRs
ECA2111	Hawaii	3.10198134796526	-14.3061186284628	NA	NA	pSTRs
ECA2119	Hawaii	-3.20203591930811	-2.64850855487614	NA	NA	pSTRs
ECA2151	Hawaii	55.5729002699039	17.2983357720636	NA	NA	pSTRs
ECA2155	Hawaii	87.6948717970453	-7.4624085736428	NA	NA	pSTRs
ECA2159	Hawaii	89.0582294696857	-8.98520455748617	NA	NA	pSTRs
ECA2183	Hawaii	88.9232167760914	-14.9912764154356	NA	NA	pSTRs
ECA2187	Hawaii	90.8094834756571	-24.5597618624609	NA	NA	pSTRs
ECA2191	Hawaii	71.3805281468274	-2.38410409471117	NA	NA	pSTRs
ECA2195	Hawaii	69.7127506143161	-5.20775924157441	NA	NA	pSTRs
ECA2199	Hawaii	70.3533234376365	-5.13324820174443	NA	NA	pSTRs
ECA2251	Hawaii	86.392026564557	41.7992751587857	NA	NA	pSTRs
ECA2281	Hawaii	85.3985550691021	-21.0461860745513	NA	NA	pSTRs
ECA2291	Hawaii	88.256322985518	-21.9483712567971	NA	NA	pSTRs
ECA2332	Hawaii	5.60765898591852	-18.284255333332	NA	NA	pSTRs
ECA2334	Hawaii	77.8742412893531	-14.7308841486668	NA	NA	pSTRs
ECA2336	Hawaii	89.3467239003354	-17.4560596082068	NA	NA	pSTRs
ECA2344	Hawaii	2.8411340741451	-20.3790530966189	NA	NA	pSTRs
ECA2350	Hawaii	2.9400797696019	-19.5515241734388	NA	NA	pSTRs
ECA2360	Hawaii	89.7235481355168	-22.0831859589269	NA	NA	pSTRs
ECA2367	Hawaii	87.0269138738387	-24.9833963520793	NA	NA	pSTRs
ECA2377	Hawaii	11.3317116867681	-26.296362075488	NA	NA	pSTRs
ECA2417	Hawaii	88.0879337389496	44.6935506210623	NA	NA	pSTRs
CB4851	Europe	-23.9422769717556	-8.99702751589765	NA	NA	pSTRs
ECA2437	Hawaii	14.4389580517235	-15.9406056363465	NA	NA	pSTRs
ECA2443	Hawaii	87.8806361821957	39.5818166499011	NA	NA	pSTRs
ECA2452	Hawaii	13.3814638328407	-14.3813602296457	NA	NA	pSTRs
CB4853	N. America	-33.0127860804023	18.2395489086827	NA	NA	pSTRs
ECA2467	Hawaii	10.8707208738187	-26.2506900130969	NA	NA	pSTRs
ECA2473	Hawaii	87.2041591458495	45.6001841898363	NA	NA	pSTRs
ECA2475	Hawaii	86.7447992195559	39.8911178609903	NA	NA	pSTRs
CB4855	N. America	-29.6077334915197	9.31163299967853	NA	NA	pSTRs
ECA2481	Hawaii	11.9292446310854	-26.6735278767377	NA	NA	pSTRs
ECA2482	Hawaii	87.5539842492668	44.7520310303204	NA	NA	pSTRs
ECA2489	Hawaii	86.0060416900773	46.6437393319737	NA	NA	pSTRs
CB4857	N. America	-29.520673503835	11.6402951193772	NA	NA	pSTRs
CB4858	N. America	-34.5734966409869	17.7661767199228	NA	NA	pSTRs
ECA2522	N. America	-29.0869497422082	6.7150271653138	NA	NA	pSTRs
ECA2523	N. America	1.03716031631329	-23.4905949340653	NA	NA	pSTRs
ECA2527	N. America	-25.2198381624319	2.63883295355711	NA	NA	pSTRs
ECA2529	N. America	-34.1528010772553	11.7514105347735	NA	NA	pSTRs
ECA2533	N. America	-18.1655359242856	-0.301260763263717	NA	NA	pSTRs
ECA2536	N. America	-33.2128786341944	14.143343123466	NA	NA	pSTRs
ECA2546	Australia	-33.6430714674888	13.4725752163038	NA	NA	pSTRs
ECA2549	Australia	-31.744545115561	8.41416405730929	NA	NA	pSTRs
ECA2551	Australia	-25.5395428789818	6.35507701128546	NA	NA	pSTRs
ECA2554	Australia	-32.9061840481965	7.52726202398434	NA	NA	pSTRs
ECA2555	Australia	-25.2032445254072	7.36617593477973	NA	NA	pSTRs
ECA2559	Australia	-33.2430653506244	12.8758948784259	NA	NA	pSTRs
ECA2560	Australia	-34.8555649599437	16.806431524447	NA	NA	pSTRs
ECA2561	Australia	-9.5623103215259	6.51028538718962	NA	NA	pSTRs
ECA2565	Australia	-41.9369959981665	19.5880729863945	NA	NA	pSTRs
ECA2568	Australia	-36.4275739692536	11.6523753581015	NA	NA	pSTRs
ECA2581	Australia	36.1396917135845	-12.4988643663447	NA	NA	pSTRs
ECA2583	Australia	-32.5107314899564	11.9455691879648	NA	NA	pSTRs
ECA2584	Australia	-29.4644947823505	10.2723564421795	NA	NA	pSTRs
PB306	Unknown	-19.4414510665868	-0.461645967296186	NA	NA	pSTRs
ECA2594	Australia	-29.4300586196322	16.3913665563935	NA	NA	pSTRs
ECA2595	Australia	5.08185180966312	1.76687992835581	NA	NA	pSTRs
ECA2601	Australia	-7.16467502813043	4.61127703772619	NA	NA	pSTRs
ECA2602	Australia	-35.7483310743579	12.6784543874764	NA	NA	pSTRs
ECA2603	Australia	-36.1321523839496	11.7447243505865	NA	NA	pSTRs
ECA2607	Australia	-29.9451137310152	4.7134274851197	NA	NA	pSTRs
ECA2609	Australia	-31.1626987818002	10.5552542880153	NA	NA	pSTRs
ECA2612	Australia	-8.61678867036319	3.34740195103759	NA	NA	pSTRs
ECA2615	Australia	-37.8000383313046	12.7516712653203	NA	NA	pSTRs
ECA2641	Australia	-30.845234052259	7.52969206298599	NA	NA	pSTRs
ECA2648	Australia	-32.0205958568706	9.56324202638585	NA	NA	pSTRs
ECA2656	Australia	-34.045484529321	12.7759171507274	NA	NA	pSTRs
ECA2659	Australia	-14.3647381048178	3.43444275231352	NA	NA	pSTRs
ECA2660	Australia	-13.1664596435939	2.78109995600266	NA	NA	pSTRs
ECA2672	Australia	-25.0630385523799	5.31944357254098	NA	NA	pSTRs
ECA2676	Australia	-29.0151749154484	13.4829568925526	NA	NA	pSTRs
ECA347	Hawaii	89.9714891389014	-25.1312509354793	NA	NA	pSTRs
ECA348	N. America	-12.7345962544664	-6.39654854594794	NA	NA	pSTRs
ECA349	N. America	-25.9509748069839	5.32495608570335	NA	NA	pSTRs
ECA36	New Zealand	88.8231831112404	-25.8502190673677	NA	NA	pSTRs
ECA363	Hawaii	86.3659006644996	-27.4819597580857	NA	NA	pSTRs
ECA369	Hawaii	18.850237385998	-12.1412595776429	NA	NA	pSTRs
ECA372	Hawaii	-4.46238019302473	-16.5752852272899	NA	NA	pSTRs
ECA396	Hawaii	86.344876385783	37.9910327433175	NA	NA	pSTRs
ECA592	N. America	-9.82176070157943	-10.7874832045582	NA	NA	pSTRs
ECA593	N. America	2.72114980602822	-17.7028871283908	NA	NA	pSTRs
ECA594	N. America	-8.95701754121821	-9.42439387504628	NA	NA	pSTRs
ECA640	N. America	-27.8507262820933	5.18227633651837	NA	NA	pSTRs
ECA701	Hawaii	65.8097480677455	-10.5227524034735	NA	NA	pSTRs
ECA703	Hawaii	21.9227405206373	-15.5689448210413	NA	NA	pSTRs
ECA705	Hawaii	2.3423870160477	-18.325208483954	NA	NA	pSTRs
ECA706	Hawaii	11.0381826605947	-18.9428664752946	NA	NA	pSTRs
ECA710	Hawaii	-0.366573217942312	-17.2340979453072	NA	NA	pSTRs
ECA712	Hawaii	2.75128525561216	-14.5328036940086	NA	NA	pSTRs
ECA722	Hawaii	86.7178218309666	37.5054961041191	NA	NA	pSTRs
ECA723	Hawaii	83.7443770628534	35.8161577596473	NA	NA	pSTRs
ECA724	Hawaii	80.1248630616667	-24.6425143317501	NA	NA	pSTRs
ECA730	Hawaii	86.5824704593541	37.5382372553228	NA	NA	pSTRs
ECA732	Hawaii	11.75612904502	-29.1085577965162	NA	NA	pSTRs
ECA733	Hawaii	10.4768479924289	-26.6333087700745	NA	NA	pSTRs
ECA738	Hawaii	2.45228601490309	-21.2246404435546	NA	NA	pSTRs
ECA740	Hawaii	86.0930955176885	-24.7980332689954	NA	NA	pSTRs
ECA741	Hawaii	88.5747772443941	-23.1035952904154	NA	NA	pSTRs
ECA742	Hawaii	85.6071063541446	-22.626663052843	NA	NA	pSTRs
ECA743	Hawaii	5.45208148478219	-22.7561165320743	NA	NA	pSTRs
ECA744	Hawaii	84.2405727246243	39.7649442136165	NA	NA	pSTRs
ECA745	Hawaii	84.211982004942	43.5356852431503	NA	NA	pSTRs
ECA746	Hawaii	87.8107276847319	39.4756524374901	NA	NA	pSTRs
ECA760	Hawaii	7.25388779202477	-20.3086956072857	NA	NA	pSTRs
ECA768	Hawaii	8.12195987385015	-18.6073188386197	NA	NA	pSTRs
ECA777	Hawaii	6.51451825846695	-19.6350063399517	NA	NA	pSTRs
ECA778	Hawaii	2.08678621515514	-20.2267709586813	NA	NA	pSTRs
ECA807	Hawaii	10.24665979646	-8.87609418656143	NA	NA	pSTRs
ECA812	Hawaii	4.539004146984	-18.1423364042777	NA	NA	pSTRs
ECA923	Hawaii	-20.9548505288364	2.86367501573492	NA	NA	pSTRs
ECA928	Hawaii	-14.9031977490838	0.232385156959359	NA	NA	pSTRs
ECA930	Asia	-33.8445887460507	10.3538579082769	NA	NA	pSTRs
ED3005	Europe	-31.1666711950068	11.8440574252605	NA	NA	pSTRs
ED3011	Europe	-31.7675904936723	11.3256122597595	NA	NA	pSTRs
ED3012	Europe	-38.6670042082852	9.56919142137318	NA	NA	pSTRs
ED3017	Europe	-36.1178359121473	3.30346822240947	NA	NA	pSTRs
ED3040	Africa	-27.8773190896635	8.7984352274983	NA	NA	pSTRs
ED3046	Africa	-31.0222697783591	9.41631382244449	NA	NA	pSTRs
ED3048	Africa	-38.2709137276865	19.8447496513667	NA	NA	pSTRs
ED3049	Africa	-30.623184033436	9.80662354632622	NA	NA	pSTRs
ED3052	Africa	-30.6725957418691	7.51454287930773	NA	NA	pSTRs
ED3073	Africa	-33.2878558183621	16.0452048439176	NA	NA	pSTRs
ED3077	Africa	-32.9110142445596	16.3499714654883	NA	NA	pSTRs
EG4347	N. America	-40.5929153481164	17.655375310658	NA	NA	pSTRs
EG4349	N. America	-19.9422739953094	-1.91285618168231	NA	NA	pSTRs
EG4724	Europe	-21.1705099740772	-0.340187870831091	NA	NA	pSTRs
EG4725	Europe	-14.7647484571201	-4.13930874944706	NA	NA	pSTRs
EG4946	N. America	-37.349274991666	18.6392393109107	NA	NA	pSTRs
GXW1	Asia	-34.8699692862435	13.308070604167	NA	NA	pSTRs
JR4305	N. America	-14.1510982344245	-7.13841243903843	NA	NA	pSTRs
JT11398	N. America	-30.2500779450466	4.05286303304498	NA	NA	pSTRs
JU1088	Asia	-34.4882889155124	18.6776581072492	NA	NA	pSTRs
JU1172	S. America	-34.6040234758651	13.8268492754464	NA	NA	pSTRs
JU1200	Europe	-42.4052672623024	12.7102933995158	NA	NA	pSTRs
JU1212	Europe	-18.6752578823171	-11.9744576757766	NA	NA	pSTRs
JU1213	Europe	-18.2953792124451	-12.1326431360994	NA	NA	pSTRs
JU1242	Europe	-16.8006347011907	-17.3200609699779	NA	NA	pSTRs
JU1246	Europe	-11.1482344711486	-14.8896610762821	NA	NA	pSTRs
JU1249	Europe	-34.6451965239263	5.93677181097686	NA	NA	pSTRs
JU1395	Europe	-35.1113330370046	12.2210508724565	NA	NA	pSTRs
JU1400	Europe	-21.7052353010724	-2.58633903423403	NA	NA	pSTRs
JU1409	Europe	-32.5568109815297	7.45354384311247	NA	NA	pSTRs
JU1440	Europe	-36.2962420720214	10.4000826399538	NA	NA	pSTRs
JU1491	Europe	-28.8801992870237	-1.08105568989724	NA	NA	pSTRs
JU1530	Europe	-30.3494974126192	-3.37367464600026	NA	NA	pSTRs
JU1543	Europe	-39.2577422667417	12.0447687921497	NA	NA	pSTRs
JU1568	Europe	-35.6326614417892	-3.57236525174269	NA	NA	pSTRs
JU1581	Europe	-13.2353642441838	-13.0716729843178	NA	NA	pSTRs
JU1586	Europe	-36.8121877821091	8.32790203872013	NA	NA	pSTRs
JU1652	S. America	-25.793163051328	5.60399301450809	NA	NA	pSTRs
JU1666	Europe	-12.9983842716458	-22.5353819558164	NA	NA	pSTRs
JU1792	Europe	-30.4348363817229	-11.7977596665556	NA	NA	pSTRs
JU1793	Europe	-3.45244129945534	-19.2878155691452	NA	NA	pSTRs
JU1808	Europe	-29.1001982592729	-2.65647643845912	NA	NA	pSTRs
JU1896	Europe	-19.527225186014	1.04816541248078	NA	NA	pSTRs
JU1934	Europe	-20.7808930933415	-13.9388281732626	NA	NA	pSTRs
JU2001	Africa	-8.26763343697559	-16.0452400713318	NA	NA	pSTRs
JU2007	Europe	-28.8597135075958	10.7700949700949	NA	NA	pSTRs
JU2016	N. America	-35.9393084514559	18.3545604459753	NA	NA	pSTRs
JU2017	N. America	-18.3447525685027	1.5473788544416	NA	NA	pSTRs
JU2106	Europe	-6.31374811839902	-20.6923537523942	NA	NA	pSTRs
JU2131	Europe	-14.278583142719	-17.296830451092	NA	NA	pSTRs
JU2141	Europe	-20.95322210495	-16.36605676297	NA	NA	pSTRs
JU2234	Europe	-25.196676541031	5.75787131016363	NA	NA	pSTRs
JU2250	Europe	-15.786488027973	-19.8450675937299	NA	NA	pSTRs
JU2257	Europe	-27.8347725076346	-8.17850454524648	NA	NA	pSTRs
JU2316	Europe	0.221302040245146	-18.2035008634641	NA	NA	pSTRs
JU2464	S. America	-28.5765486848899	8.08671023571169	NA	NA	pSTRs
JU2466	S. America	-38.252561480095	22.6761885211155	NA	NA	pSTRs
JU2478	Europe	-27.4385080356893	5.67542245654028	NA	NA	pSTRs
JU2513	Europe	-34.0581817646056	12.6149221647867	NA	NA	pSTRs
JU2519	Europe	-8.07355953168323	-12.9593187187701	NA	NA	pSTRs
JU2522	Europe	-23.8032573405115	0.924864324923934	NA	NA	pSTRs
JU2526	Europe	9.88983346646057	-22.2565780723152	NA	NA	pSTRs
JU2534	Europe	-33.211727827497	6.31306940134654	NA	NA	pSTRs
JU2565	Europe	-29.2877561662588	-5.11231289938074	NA	NA	pSTRs
JU2566	Europe	-32.8399921338933	-4.55238969575593	NA	NA	pSTRs
JU2570	Europe	-17.7513174168237	-20.4682894693178	NA	NA	pSTRs
JU2572	Europe	-35.9131582102917	-3.39090099289338	NA	NA	pSTRs
JU2575	Europe	-32.4452217815335	-5.31520028288733	NA	NA	pSTRs
JU2576	Europe	-15.8224773473288	-7.7096264976376	NA	NA	pSTRs
JU2578	Europe	-31.6633437286821	14.4319409031416	NA	NA	pSTRs
JU258	Atlantic	-1.13229924808964	-19.7603440751238	NA	NA	pSTRs
JU2581	Europe	-20.3355870818825	2.95494378254724	NA	NA	pSTRs
JU2586	Europe	-22.9142857920964	1.93113970356908	NA	NA	pSTRs
JU2587	Europe	-25.0206206469359	1.33325472881596	NA	NA	pSTRs
JU2592	Europe	-26.4807255308189	-9.63894155174583	NA	NA	pSTRs
JU2593	Europe	-22.8463463573643	0.397680179653453	NA	NA	pSTRs
JU2600	Europe	-18.9041807327217	-8.53163605892986	NA	NA	pSTRs
JU2610	Europe	-18.5398554474284	-9.99189220851954	NA	NA	pSTRs
JU2619	N. America	-32.8540647672425	11.5253575823246	NA	NA	pSTRs
JU2800	Europe	-14.1944883986273	-10.5390354144884	NA	NA	pSTRs
JU2811	Australia	-21.9128836221318	3.77952929332621	NA	NA	pSTRs
JU2825	Europe	-26.5196881986539	-7.2673679664736	NA	NA	pSTRs
JU2829	Europe	-19.0933813541964	4.34991116494986	NA	NA	pSTRs
JU2838	N. America	-14.0205065034521	-6.90900554012956	NA	NA	pSTRs
JU2841	New Zealand	-20.0822127525114	0.620174088885077	NA	NA	pSTRs
JU2853	Europe	-34.5579041010525	13.1643373732329	NA	NA	pSTRs
JU2862	Europe	-24.4339904732761	-1.24588902674028	NA	NA	pSTRs
JU2866	N. America	-26.516373037267	1.62458336389095	NA	NA	pSTRs
JU2878	N. America	-29.289556788131	11.258855454722	NA	NA	pSTRs
JU2879	N. America	-11.2473901229166	-7.1886596272122	NA	NA	pSTRs
JU2906	Europe	-29.6645280667348	3.37063412742666	NA	NA	pSTRs
JU2907	Europe	-40.2487757080466	13.5983449006809	NA	NA	pSTRs
JU310	Europe	-30.5594842064163	-4.07846837198549	NA	NA	pSTRs
JU311	Europe	-25.5413808012364	-11.8167170034569	NA	NA	pSTRs
JU3125	Europe	-31.2385574614858	10.290525624917	NA	NA	pSTRs
JU3127	Europe	-30.0307959865866	7.6721796863209	NA	NA	pSTRs
JU3128	Europe	-32.016989185501	5.50009073984222	NA	NA	pSTRs
JU3132	Europe	-20.8062506758358	-13.0743315024832	NA	NA	pSTRs
JU3134	Europe	-30.6583730839795	7.13163160445485	NA	NA	pSTRs
JU3135	Europe	-31.8018302449976	12.5565263132218	NA	NA	pSTRs
JU3137	Europe	-22.3291721934478	-0.255463449054546	NA	NA	pSTRs
JU3140	Europe	-16.1420078404946	-18.7036100196272	NA	NA	pSTRs
JU3141	Europe	-27.0741713568409	-12.4629259433657	NA	NA	pSTRs
JU3144	Africa	-27.328105741986	6.83269470492863	NA	NA	pSTRs
JU3166	Atlantic	-5.19815667998179	-10.543286636501	NA	NA	pSTRs
JU3167	Atlantic	-3.31359289869696	-21.0522711225637	NA	NA	pSTRs
JU3169	Atlantic	-5.81742535383267	-14.5485878478063	NA	NA	pSTRs
JU3224	New Zealand	-26.1956864375467	9.06986500211999	NA	NA	pSTRs
JU3225	New Zealand	-36.3698728297846	11.4947046629886	NA	NA	pSTRs
JU3226	New Zealand	82.3915433005767	-23.754513828824	NA	NA	pSTRs
JU3228	New Zealand	-22.5868565955905	8.85602215975234	NA	NA	pSTRs
JU323	Europe	-26.5186664152155	-0.931802411053928	NA	NA	pSTRs
JU3280	Europe	-23.6415524015637	4.96294080793397	NA	NA	pSTRs
JU3282	Europe	-34.0387174358655	17.0723635412898	NA	NA	pSTRs
JU3291	Europe	-17.7949507900831	-9.81403804025227	NA	NA	pSTRs
JU3318	Asia	-32.8481529555809	13.294972592579	NA	NA	pSTRs
JU346	Europe	-26.5625506930267	-5.37088286266838	NA	NA	pSTRs
JU360	Europe	-24.6195143406537	2.86994193330972	NA	NA	pSTRs
JU367	Europe	-35.003303126709	1.93560475348124	NA	NA	pSTRs
JU3795	Europe	-17.2249094319843	-16.6652765005235	NA	NA	pSTRs
JU393	Europe	-27.4389967085937	-7.07750177816793	NA	NA	pSTRs
JU394	Europe	-25.468569132824	-9.0264733552131	NA	NA	pSTRs
JU397	Europe	-19.3066080882542	-21.624806740344	NA	NA	pSTRs
JU4047	Asia	-17.5930509785155	2.03138242498473	NA	NA	pSTRs
JU406	Europe	-30.0917732067292	-5.24531195439156	NA	NA	pSTRs
JU4073	Asia	-34.8640194248278	13.8545278851189	NA	NA	pSTRs
JU4082	Asia	1.20179951665503	-23.0906677525501	NA	NA	pSTRs
JU4098	Asia	-30.4485669085074	12.763286743866	NA	NA	pSTRs
JU440	Europe	-30.5900663941193	3.30032689619699	NA	NA	pSTRs
JU561	Europe	-33.1604990802509	9.45908750745814	NA	NA	pSTRs
JU642	Europe	-28.9344197076779	0.400003237523092	NA	NA	pSTRs
