isotype	cluster	PC1	PC2	PC1_var_exp	PC2_var_exp	data
AB1	Australia	-35.0536058757019	9.0634794341142	25.2	4.3	pSTRs
BRC20067	Asia	-38.0518561521275	21.4174825501596	NA	NA	pSTRs
BRC20263	Australia	-29.1912972800809	9.90384562795611	NA	NA	pSTRs
CB4852	Unknown	-37.1200173384038	14.2480506448216	NA	NA	pSTRs
CB4854	N. America	-29.5411100030616	11.8548200027728	NA	NA	pSTRs
CB4856	Hawaii	14.5265699470416	-24.5604026763859	NA	NA	pSTRs
CB4932	Europe	-27.1386785302422	-11.8177471502274	NA	NA	pSTRs
CX11254	N. America	-23.8220930545388	3.23922260690887	NA	NA	pSTRs
CX11262	N. America	-21.5527921291776	6.53713895562911	NA	NA	pSTRs
CX11264	N. America	-16.8514733259295	-4.91176491847221	NA	NA	pSTRs
CX11271	N. America	-33.7995122061008	14.2450010418306	NA	NA	pSTRs
CX11276	N. America	-30.2274696281715	9.23144432592027	NA	NA	pSTRs
CX11285	N. America	-19.9762033702118	0.165585949800919	NA	NA	pSTRs
CX11292	N. America	-35.935866903027	17.2807385779092	NA	NA	pSTRs
CX11307	N. America	-22.7271775698917	1.09303804901122	NA	NA	pSTRs
CX11314	N. America	-28.7984495395906	12.0032972807095	NA	NA	pSTRs
CX11315	N. America	-27.5008524566158	6.11033502579265	NA	NA	pSTRs
DL200	Africa	-19.4761215576929	-12.1633637945178	NA	NA	pSTRs
DL226	N. America	-28.7689809062587	8.43174040325341	NA	NA	pSTRs
DL238	Hawaii	9.7072069009692	-29.6569946387203	NA	NA	pSTRs
ECA1069	S. America	-29.3982690398262	12.3673546614258	NA	NA	pSTRs
ECA1074	S. America	-31.9162863063322	9.86579599722032	NA	NA	pSTRs
ECA1185	Hawaii	90.0311050896636	-25.5934226559057	NA	NA	pSTRs
ECA1186	Hawaii	7.28725574453667	-15.2151410699515	NA	NA	pSTRs
ECA1187	Hawaii	91.9282385443796	-24.6860828569525	NA	NA	pSTRs
ECA1191	Hawaii	89.9408399905971	-24.0751073036205	NA	NA	pSTRs
ECA1192	Hawaii	92.5461936132872	-26.7375033867644	NA	NA	pSTRs
ECA1193	Hawaii	83.6127432337576	-23.3518670549031	NA	NA	pSTRs
ECA1194	Hawaii	92.1387670736121	-22.2652742932381	NA	NA	pSTRs
ECA1195	Hawaii	82.7920530581061	-21.2092837183468	NA	NA	pSTRs
ECA1196	Hawaii	90.4365274374131	-22.9859109828018	NA	NA	pSTRs
ECA1200	Hawaii	1.24103033087616	-18.1241602719835	NA	NA	pSTRs
ECA1202	Hawaii	84.6635209114457	45.1230857805434	NA	NA	pSTRs
ECA1206	Hawaii	88.7969750278651	45.8818043864583	NA	NA	pSTRs
ECA1208	Hawaii	84.2886987987628	43.3804753437658	NA	NA	pSTRs
ECA1212	Hawaii	86.9586053753161	40.858480168411	NA	NA	pSTRs
ECA1216	Hawaii	87.8043245878862	41.0026090284023	NA	NA	pSTRs
ECA1223	Hawaii	83.2131234975452	40.5750146757262	NA	NA	pSTRs
ECA1225	Hawaii	87.0514257317502	40.989861541493	NA	NA	pSTRs
ECA1228	Hawaii	86.259197465191	40.1189107031741	NA	NA	pSTRs
ECA1229	Hawaii	86.3972310668268	39.6320365600041	NA	NA	pSTRs
ECA1232	Hawaii	89.3854859846198	-25.4235167904393	NA	NA	pSTRs
ECA1237	Hawaii	85.8784877853128	37.6104796106759	NA	NA	pSTRs
ECA1238	Hawaii	89.5523662090181	-25.7161552522356	NA	NA	pSTRs
ECA1240	Hawaii	92.2383575681571	-25.7977673605541	NA	NA	pSTRs
ECA1242	Hawaii	92.1471465750597	-21.8648117448187	NA	NA	pSTRs
ECA1243	Hawaii	11.3306820182695	-28.6296586803359	NA	NA	pSTRs
ECA1247	Hawaii	86.0906340237958	42.5328658782016	NA	NA	pSTRs
ECA1251	Hawaii	90.2330309854301	-24.6901954943038	NA	NA	pSTRs
ECA1252	Hawaii	91.6454209112344	-22.9531108135667	NA	NA	pSTRs
ECA1253	Hawaii	90.374954743605	-25.5377349521302	NA	NA	pSTRs
ECA1255	Hawaii	-0.467420098757477	-18.6436986412148	NA	NA	pSTRs
